manufacturer,product type,flash memory installed,diagonal size,battery,supported digital audio standards,estimated battery life
Sony,"Digital player / radio,","16 GB Integrated,","2.4 in,","Lithium ion Rechargeable Player batteryIntegrated,","MP3,,WMA,,AAC,,LPCM,","42 hour(s),"
SanDisk,"Digital player / radio,","4 GB Integrated,","1 in,","Rechargeable Player batteryInternal,","MP3,,Protected WMA (DRM),,WMA,,FLAC,,Audible,,Ogg Vorbis,","15 hour(s),"
SanDisk,"Digital player / radio,","4 GB Integrated,","1 in,","Rechargeable Player batteryInternal,","MP3,,Protected WMA (DRM),,WMA,,FLAC,,Audible,,Ogg Vorbis,","15 hour(s),"
SanDisk,"Digital player / radio,","2 GB Integrated,","1 in,","Rechargeable Player batteryInternal,","MP3,,Protected WMA (DRM),,WMA,,FLAC,,Audible,,Ogg Vorbis,","15 hour(s),"
SanDisk,"Digital player / radio,","8 GB Integrated,","1 in,","Rechargeable Player batteryInternal,","MP3,,Protected WMA (DRM),,WMA,,FLAC,,Audible,,Ogg Vorbis,","15 hour(s),"
SanDisk,"Digital player / radio,","4 GB Integrated,","1 in,","Rechargeable Player batteryInternal,","MP3,,Protected WMA (DRM),,WMA,,FLAC,,Audible,,Ogg Vorbis,","15 hour(s),"
Other product lines,"Digital player / radio,","8 GB Integrated,","1.5 in,","Lithium polymer Rechargeable Player batteryIntegrated,","MP3,,WMA,","4 hour(s),"
Other product lines,"Digital player / radio,","2 GB Integrated,","1.5 in,","Lithium polymer Rechargeable Player batteryIntegrated,","MP3,,WMA,","25 hour(s),"
Other product lines,"Digital player / radio,","4 GB Integrated,","1.5 in,","Lithium polymer Rechargeable Player batteryIntegrated,","MP3,,WMA,",
Other product lines,"Digital player / radio,","16 GB Integrated,","1.5 in,","Lithium polymer Rechargeable Player batteryIntegrated,","MP3,,WMA,","25 hour(s),"
"Haier America Trading, L.L.C.","Digital player / radio,","2 GB Integrated,","1 in,","Lithium polymer Rechargeable Player batteryInternal,","MP3,,WMA,,WAV,","10 hour(s),"
Samsung,,,,,,
Samsung,"Digital player / radio,","16 GB Integrated,","2.4 in,","Rechargeable Player batteryIntegrated,","MP3,,WMA,,FLAC,,Ogg Vorbis,","50 hour(s),"
Samsung,"Digital player / radio,","8 GB Integrated,","2.4 in,","Rechargeable Player batteryIntegrated,","MP3,,WMA,,FLAC,,Ogg Vorbis,","50 hour(s),"
Imation Enterprises,,,,"Rechargeable Battery,Included Qty,Battery Enclosure Type,Battery Life Details,Battery Life Details,",,
Tonium,"Digital player,",,"1.7 in,","Lithium ion Rechargeable Player battery,","MP3,,AIFF,,FLAC,,Ogg Vorbis,,AAC-LC,,WAV,","15 hour(s),"
Other product lines,"Digital player / radio,","8 GB Integrated,","2 in,","Lithium polymer Rechargeable Player batteryIntegrated,","MP3,,WMA,",
Other product lines,"Digital player / radio,","16 GB Integrated,","2 in,","Lithium polymer Rechargeable Player batteryIntegrated,","MP3,,Protected WMA (DRM),,WMA,","30 hour(s),,6 hour(s),"
iRiver,"Digital player / radio,","16 GB Integrated,","4.3 in,","Lithium polymer Rechargeable Player battery,","MP3,,WMA,,APE (Monkey's Audio),,ASF,,FLAC,,Ogg Vorbis,,AC-3,,WAV,","50 hour(s),"
Sony,"Digital player,","2 GB Integrated,",,"Lithium ion Rechargeable Player batteryIntegrated,","MP3,,Protected WMA (DRM),,WMA,,AAC,","12 hour(s),"
Sony,"Digital player,","2 GB Integrated,",,"Lithium ion Rechargeable Player batteryIntegrated,","MP3,,Protected WMA (DRM),,WMA,,AAC,","12 hour(s),"
Samsung,"Digital player / radio,","8 GB Integrated,","3 in,","Lithium polymer Rechargeable Player battery,","MPEG 2.5 Audio,,MPEG 2 Audio,,MPEG 1 Audio,,MP3,,WMA,,FLAC,,Ogg Vorbis,,AAC,,AAC-LC,","30 hour(s),"
Samsung,"Digital player / radio,","16 GB Integrated,","3 in,","Lithium polymer Rechargeable Player battery,","MPEG 2.5 Audio,,MPEG 2 Audio,,MPEG 1 Audio,,MP3,,WMA,,FLAC,,Ogg Vorbis,,AAC,,AAC-LC,","30 hour(s),"
Samsung,"Digital player / radio,","32 GB Integrated,","3 in,","Lithium polymer Rechargeable Player battery,","MPEG 2.5 Audio,,MPEG 2 Audio,,MPEG 1 Audio,,MP3,,WMA,,FLAC,,Ogg Vorbis,,AAC,,AAC-LC,","30 hour(s),"
Samsung,"Digital player / radio,","32 GB Integrated,","3 in,","Lithium polymer Rechargeable Player battery,","MPEG 2.5 Audio,,MPEG 2 Audio,,MPEG 1 Audio,,AAC +,,OGG,,MP3,,WMA,,ASF,,FLAC,,AAC,,AAC-LC,","30 hour(s),"
Samsung,"Digital player / radio,","8 GB Integrated,","3 in,","Lithium polymer Rechargeable Player battery,","MPEG 2.5 Audio,,MPEG 2 Audio,,MPEG 1 Audio,,MP3,,WMA,,FLAC,,Ogg Vorbis,,AAC,,AAC-LC,","30 hour(s),"
Samsung,"Digital player / radio,","16 GB Integrated,","3 in,","Lithium polymer Rechargeable Player battery,","MPEG 2.5 Audio,,MPEG 2 Audio,,MPEG 1 Audio,,MP3,,WMA,,FLAC,,Ogg Vorbis,,AAC,,AAC-LC,","30 hour(s),"
SanDisk,"Digital player / radio,",,"1.5 in,","Rechargeable Player batteryInternal,",,
Seagate Technology,,,,,,
Seagate Technology,,,,,,
Seagate Technology,,,,,,
Yamaha,"Digital player,","microSD,",,"1 x AA type Rechargeable Player batteryInternal,","MP3,,WMA,,PCM,,WAV,",
Apple,"Digital player,","4 GB Integrated,",,"Lithium polymer Rechargeable Player batteryIntegrated,","MP3,,AIFF,,Apple Lossless,,Audible,,AAC,,WAV,","10 hour(s),"
Apple,"Digital player,","4 GB Integrated,",,"Lithium polymer Rechargeable Player batteryIntegrated,","MP3,,AIFF,,Apple Lossless,,Audible,,AAC,,WAV,","10 hour(s),"
Apple,"Digital player,","2 GB Integrated,",,"Lithium polymer Rechargeable Player batteryIntegrated,","MP3,,AIFF,,Apple Lossless,,Audible,,AAC,,WAV,","10 hour(s),"
Apple,"Digital player,","2 GB Integrated,",,"Lithium polymer Rechargeable Player batteryIntegrated,","MP3,,AIFF,,Apple Lossless,,Audible,,AAC,,WAV,","10 hour(s),"
Apple,"Digital player,","2 GB Integrated,",,"Lithium polymer Rechargeable Player batteryIntegrated,","MP3,,AIFF,,Apple Lossless,,Audible,,AAC,,WAV,","10 hour(s),"
Apple,"Digital player,","4 GB Integrated,",,"Lithium polymer Rechargeable Player batteryIntegrated,","MP3,,AIFF,,Apple Lossless,,Audible,,AAC,,WAV,","10 hour(s),"
Apple,"Digital player,","2 GB Integrated,",,"Lithium polymer Rechargeable Player batteryIntegrated,","MP3,,AIFF,,Apple Lossless,,Audible,,AAC,,WAV,","10 hour(s),"
Apple,"Digital player,","4 GB Integrated,",,"Lithium polymer Rechargeable Player batteryIntegrated,","MP3,,AIFF,,Apple Lossless,,Audible,,AAC,,WAV,","10 hour(s),"
Apple,"Digital player,","4 GB Integrated,",,"Lithium polymer Rechargeable Player batteryIntegrated,","MP3,,AIFF,,Apple Lossless,,Audible,,AAC,,WAV,","10 hour(s),"
Apple,"Digital player,","2 GB Integrated,",,"Lithium polymer Rechargeable Player batteryIntegrated,","MP3,,AIFF,,Apple Lossless,,Audible,,AAC,,WAV,","10 hour(s),"
Apple,"Digital player,","4 GB Integrated,",,"Lithium polymer Rechargeable Player batteryIntegrated,","MP3,,AIFF,,Apple Lossless,,Audible,,AAC,,WAV,","10 hour(s),"
"Cowon Systems, Inc.",,,,,,
"Cowon Systems, Inc.",,,,,,
"Cowon Systems, Inc.",,,,,,
Western Digital Corp.,,,,,,
Other product lines,"Digital player / radio,","2 GB Integrated,","1.46 in,","1 x Rechargeable Player batteryInternal,","WAV,,MP3,,ADPCM,,WMA,","27 hour(s),"
Other product lines,"Digital player / radio,","4 GB Integrated,","1.46 in,","1 x Rechargeable Player batteryInternal,","WAV,,MP3,,ADPCM,,WMA,","27 hour(s),"
Other product lines,"Digital player / radio,","8 GB Integrated,","1.46 in,","1 x Rechargeable Player batteryInternal,","WAV,,MP3,,ADPCM,,WMA,","27 hour(s),"
"Cowon Systems, Inc.",,,,"Rechargeable Battery,Battery Life Details,Battery Life Details,Required Qty,Technology,Battery Enclosure Type,",,
"Cowon Systems, Inc.",,,,"Rechargeable Battery,Battery Life Details,Battery Life Details,Battery Enclosure Type,Technology,",,
"Cowon Systems, Inc.",,,,"Rechargeable Battery,Battery Life Details,Battery Life Details,Battery Enclosure Type,Technology,",,
"Cowon Systems, Inc.",,,,"Rechargeable Battery,Battery Life Details,Battery Life Details,Battery Enclosure Type,Technology,",,
Trevor Baylis Brands PLC,"Digital player / radio,","8 GB Integrated,","2 in,","Lithium ion Rechargeable Player batteryInternal,","MP3,,WMA,,Ogg Vorbis,,AAC,,WAV,",
